,episode_reward,actor_loss,critic_loss
0,-24.22440550889876,-0.03114054,0.0012614897
1,-21.121991747906353,-0.028747555,0.0010283885
2,-20.946861020709783,-0.017523587,0.0016853976
3,-21.986992546453497,-0.046131447,0.0023120316
4,-21.450964640540107,-0.02979395,0.0010407825
5,-20.374678480249575,-0.028289504,0.001002456
6,-20.550044856034994,-0.049029313,0.0023609851
7,-19.61868760206011,-0.025829896,0.0009750539
8,-17.437788139589482,-0.020141216,0.00074874336
9,-18.39275739947485,-0.016636966,0.0006049395
10,-17.017800981843592,-0.02089749,0.0006424913
11,-17.48136191027225,-0.02167501,0.0009185053
12,-17.34208207972161,-0.029596355,0.0008958584
13,-14.646152516861061,-0.0040884893,0.00017938353
14,-15.37298641504556,-0.019099448,0.0005592634
15,-15.37661663978538,0.0007735131,0.0014642722
16,-15.70530133925297,-0.03525904,0.0017992471
17,-15.747302402186984,-0.009508614,0.0003988042
18,-12.955275448572692,-0.007228047,0.0004955059
19,-13.912507746747945,-0.01404639,0.0006058145
20,-13.908966800375703,-0.008177661,0.00020518513
21,-13.058542199983094,-0.0038842289,0.0007471404
22,-13.085501076831024,-0.0072163935,0.00023275797
23,-11.679908020094473,-0.003991653,0.00068899465
24,-11.106545805281515,-0.016282018,0.00070969807
25,-12.000259929754007,-0.015493445,0.00084698474
26,-11.593819341586716,-0.016931519,0.0004949588
27,-10.751337610492099,-0.0035048914,0.0003287414
28,-11.785596098267021,-0.013181439,0.00043753267
29,-10.574667655813148,-0.03526553,0.0025935895
30,-10.104115193116295,-0.005406197,0.00014925397
31,-9.291564551825216,-0.014295881,0.0011980509
32,-10.237160495481257,-0.005934893,0.00023961149
33,-8.360755919031607,-0.0064759664,0.00011829404
34,-8.649759145714114,-0.005110825,0.00012712613
35,-9.678502945299604,-0.008611214,0.00014981763
36,-8.724612128957691,-0.0124499025,0.00020455285
37,-8.2181875424853,-0.004558184,0.00014309309
38,-7.860324165163721,-0.00411056,8.687592e-05
39,-7.224945174946919,-0.0041465824,0.000101389654
40,-7.949324981889631,-0.0059605367,8.89282e-05
41,-7.254392805885673,-0.015664695,0.00036104105
42,-6.859449847142789,-0.0047561093,0.0001173908
43,-7.027992322315932,-0.008618797,0.00020754086
44,-6.307211126420862,-0.0028829859,0.00011999538
45,-6.074967191792419,-0.0066000023,0.00010671178
46,-5.336107822915706,-0.0062772194,0.0001413244
47,-5.003722210321629,-0.005837341,7.5988e-05
48,-5.713908031753129,-0.0077291387,0.000108014916
49,-5.386967164273394,-0.0066336556,8.070732e-05
50,-5.28991220283253,-0.00490573,6.4118794e-05
51,-5.274549573322099,-0.0047191856,5.297973e-05
52,-4.695831340227178,-0.0050333804,5.2067062e-05
53,-4.873769679606809,-0.0071102707,7.6233206e-05
54,-4.673291980017029,-0.0033285492,3.9659415e-05
55,-4.322226416835982,-0.0032781796,3.4922516e-05
56,-4.0795452571303095,-0.00468489,4.5430777e-05
57,-4.354051826306015,-0.0037547091,3.250053e-05
58,-3.7410418747952865,-0.0034777843,4.481703e-05
59,-3.6553402745278154,-0.0034301272,3.215172e-05
60,-3.8695157029183402,-0.004514671,4.3573164e-05
61,-3.7172530763220144,-0.0026678706,2.0642992e-05
62,-3.838211068075666,-0.0054755216,5.8086764e-05
63,-3.757018987974101,-0.0034015537,0.00021524772
64,-3.220000137674634,-0.0028849565,1.8447305e-05
65,-3.219559916192353,-0.0030899234,2.5172973e-05
66,-3.037370358340676,-0.0020530235,1.1923235e-05
67,-3.141689309353588,-0.004246785,4.8873804e-05
68,-3.0385753717427266,-0.00216682,1.4712355e-05
69,-2.983981288419855,-0.00301152,1.8003397e-05
70,-2.503968080156904,-0.0027644103,1.4004964e-05
71,-2.539627339415416,-0.0014409156,1.3607912e-05
72,-2.6082079876640742,-0.0017305863,1.5431982e-05
73,-2.5633710105597283,-0.0028767313,1.4590383e-05
74,-2.4659589468173606,-0.0017402421,1.0605727e-05
75,-2.2288419289732575,-0.0018630988,7.205182e-06
76,-2.295066557008445,-0.0026529564,1.9150073e-05
77,-2.099588731720125,-0.003192116,2.426836e-05
78,-2.2837186350525083,-0.0016876033,6.109806e-06
79,-1.967827055044094,-0.004383076,2.9401297e-05
80,-1.923677357993174,-0.0016333293,2.3190032e-05
81,-1.9234724806272723,-0.0046876166,4.597327e-05
82,-1.7408801814248414,-0.0021204383,1.0725007e-05
83,-1.8449271292771403,-0.003160356,1.712479e-05
84,-1.8888740756969429,-0.00064279966,7.696935e-06
85,-1.8315043044395702,-0.0010845436,7.1310906e-06
86,-1.596163711340956,0.0015950517,3.2300402e-05
87,-1.6445174244713434,-0.0014119016,1.412488e-05
88,-1.550198906544892,-0.0037409002,2.6140682e-05
89,-1.5636968805714901,-0.003917253,2.2683951e-05
90,-1.5156277472683246,0.00023948448,3.6699803e-05
91,-1.4125040904350168,-0.004048722,2.4942667e-05
92,-1.3846656530822474,-0.0018010051,5.311028e-06
93,-1.3357515501955068,0.0015353151,2.232551e-05
